TÊN TRUYỆN: Triệu Hoán Đại Ma Đầu
TÁC GIẢ: 沙蝎
------------------------------

=== Đường Hoàng Tuyền Mới Giác Tỉnh (#1) ===

Người đăng: buikhiemhtc@

Thứ 001 chương trên đường hoàng tuyền mới Giác Tỉnh 



	( tác giả lời mở đầu: nhìn kỹ mấy vạn chữ, ta bảo đảm ngươi không uổng chuyến này 
	Vô luận không trung vẫn là dưới nền đất, chính là một mảnh huyền hoàng, như là đặt mình trong vô biên vô hạn đích hoang mạc, này chi từ nhân loại vong linh tạo thành đích ‘ con sông ’ cô độc xuyên qua trung gian, liền giống như đêm trăng chuyến về trì vu đất bồi trung đích nhất ban đoàn tàu.



	Chẳng lẽ nầy chính là cái gọi là đích Hoàng Tuyền lộ?



	Khi hắn hết sức chăm chú khi, hắn ẩn ẩn cảm nhận được nầy vong linh con sông đích hồn lực dao động.



	Trong lòng hắn vừa động, nhắm mắt lại con ngươi dùng siêu cường đích ý niệm cảm thụ ngoại giới, vì thế nguyên bản trong mắt đích đám đông biến thành nhiều điểm ánh sáng, này đó hào quang có cường có yếu, nhược tiểu chính là tựa như huỳnh hỏa, cường đích tắc giống như nhất trản ngọn đèn.



	Nhiều điểm ánh sáng cùng hiện ra u màu lam, ở huyền màu vàng bối cảnh hạ phá lệ dẫn nhân chú mục.



	Đây là linh hồn đích diện mạo như trước sao?



	Dịch tiểu thất chính cảm thụ này phiến giống như biển ngân hà đích hồn rong biển tới rung động.



	Đột nhiên, phía dưới có vài cái chói mắt đích lam quang theo hồn triều trung nhảy dựng lên, ở hồn hải thế giới có vẻ đặc biệt chói mắt.



	Những thứ này là... Ân! Là quái xà!



	Dịch tiểu thất đột nhiên trợn mắt nhìn lại, quả nhiên này lam quang chỗ,nơi, đúng là cái loại này cá lô xà, có màu đen cùng màu xám, nhưng không có màu ngân bạch.



	Dịch tiểu thất lại nhìn thấy này đó cá lô xà tâm Trung Tảo không có kia phân sợ hãi, thôn tính đối phương hồn thể sau, đồng thời cũng gây cho hắn một ít vụn vặt đích tin tức.



	Này đó cá lô xà là vực ngoại ma đầu tản đích con cháu, chúng nó là du đãng ở vô tận âm u đích lược thực giả, giống như ngoại giới đích dã thú, ở bản năng đích sử dụng hạ, thôn tính so với chúng nó nhược tiểu chính là hồn thể, thẳng đến cuối cùng hóa thành ma đầu, mới có thể phá vỡ huyền minh, phản hồi vực ngoại đích sống ở địa.



	Hiểu biết đến này đó, không chỉ có không để cho dịch tiểu thất sợ hãi, ngược lại làm cho hắn có loại nóng lòng muốn thử đích xúc động, nếu này đó tiểu ma đầu có thể dựa vào lược thực lớn dần, như vậy hắn hiện tại hẳn là cũng có thể làm được, có lẽ đến lúc đó hắn cũng có thể bằng vào  tự thân năng lực phản hồi dương thế.



	Nghĩ đến phía trước sở chịu đích thống khổ, khóe miệng hắn hơi hơi hướng về phía trước nhếch lên.



	Bây giờ là không phải nên đến phiên tôi !



	Như là cảm nhận được dịch tiểu thất đích cường đại, này cá lô xà chính là thoáng ở giữa không trung chần chờ, trong nháy mắt hướng bốn phương tám hướng lập tức giải tán.



	"Cấp lão tử gục xuống!"



	Dịch tiểu thất nhắm ngay trong đó hai cá lô xà phát ra hét lớn một tiếng, hắn xưng loại này kỹ năng tên là ‘ chấn hồn ’, là từ cá lô xà đích trí nhớ tin tức trung học tới.



	Loại này thanh âm là đem hồn tức ở miệng áp súc thành khí lãng, nháy mắt phóng xuất ra đến.



	Mặc dù đang,ở này cổ quái không gian, gì thanh âm như là bị áp lực , tái bén nhọn đích thanh âm cũng trở nên phi thường nặng nề quái dị. Nhưng là, có thể ở trong này phát ra đích thanh âm thân mình liền đại biểu thực lực cường đại, gì rất nhỏ đích tiếng vang đều muốn hội hóa thành không phải là nhỏ đích năng lượng.



	Khoảnh khắc, này đùi hồn tức khí lãng đánh sâu vào tại kia hai cái cá lô thân rắn thượng, chúng nó đích thân hình rồi đột nhiên cứng đờ, sau đó nguyên bản thực chất đích xà khu bắt đầu kịch liệt dao động, không ngừng bốc hơi lên ra xám trắng sương mù.



	Dịch tiểu thất nữu trên người tiền, thân thủ hướng tới hai cá lô xà hư trảo, đem chúng nó dễ dàng địa nhiếp vào trong tay, giống như lẫn nhau hoàn toàn không phải cùng trình tự đích như vậy, hắn cúi đầu, xuyết nhiều chuyện hút, kia xám trắng khí vụ liền cuồn cuộn không dứt bị hắn hút vào trong bụng.



	Nửa nén hương sau, dịch tiểu thất trong tay hai quái xà đã muốn biến mất không thấy.



	Hấp thụ  hai cái cá lô xà sau, hắn phát hiện mình trong cơ thể đích hồn tức khí quan tựa hồ lại đọng lại  một ít.



	Hắn tạp  chậc lưỡi, cảm giác được ý do chưa hết, chỉ tiếc cái khác phương hướng đích quái xà sớm chạy trốn tới không thấy bóng dáng.



	Đối này hắn cũng không thèm để ý, nếu hắn hiện tại so với này đó tiểu ma đầu cường, như vậy nhân vật cũng đã nghịch chuyển, kế tiếp nên hắn làm đoạt lấy giả đến săn bắt đối phương .



	Dịch tiểu thất bắt đầu rồi hắn dài dòng đi săn vận động.



	Tại đây con vô tận đầu đích Hoàng Tuyền trên đường, cất dấu phần đông đích cá lô xà, chỉ cần có cũng đủ kiên nhẫn, săn thực chúng nó cũng không tính khó khăn.



	Này đó cá lô xà cũng không có cùng trình tự, y theo bụi, hắc, ngân, ba loại ánh sáng màu phân chia, như là màu xám thân hình đích cá lô xà hồn thể yếu nhất, cực mạnh chính là màu bạc, từng cái trình tự thực lực kém phi thường cách xa.



	Này trung gian, màu xám số lượng nhiều nhất, màu đen tương đương có điều,so sánh rất thưa thớt , về phần màu ngân bạch cơ hồ là lông phượng và sừng lân. Dịch tiểu thất trước mắt đích thực lực trừ bỏ màu ngân bạch làm cho hắn hơi thêm kiêng kị, còn lại hai loại cơ hồ là dễ như trở bàn tay, mà thực lực của hắn cũng theo thôn tính số lượng, ngày càng tăng trưởng, đến cuối cùng cho dù đồng thời gặp được sổ chỉ ngân bạch cá lô xà cũng không hề sợ hãi .



	Trong lúc, hắn cũng tằng tính toán tra xét ngoại giới, chính là vô luận là hướng lên trên hoặc là đi xuống, đều có một đạo vô hình đích cái chắn đem chi cách ly. Về phần sau này, giống như là đi ngược dòng mà đi, trong phạm vi nhỏ xê dịch thật không sao cả, thật muốn cường lực đi ngược chiều, hồn thể đích tiêu hao quá mức thật lớn, bổ sung bất quá đến sẽ gặp bị đánh quay về nguyên hình.



	Cứ như vậy, hắn giống đặt mình trong một cái tĩnh lặng đích thời gian dài Hà Nội, chỉ có không ngừng về phía trước, không còn cách nào.



	Hắn có khi hội suy tư Hoàng Tuyền cuối đường đến tột cùng thông hướng phương nào, là chuyển thế đầu thai? Vẫn là đến địa phủ?



	Ngày ngay tại chờ mong không yên trung vượt qua.



	Năm tháng trôi qua, dịch tiểu thất cũng không biết ở trong này qua bao nhiêu năm nguyệt, cũng không rõ ràng lắm mấy ngày nay thôn tính  nhiều ít con cá lô xà, chỉ biết mình hồn thể càng ngày càng đọng lại, hiện giờ xuyên thấu qua nội thị, trong cơ thể đích khí quan không hề giống như trước như vậy loáng thoáng, như khói nếu như vụ , nó đích hình dáng trở nên rõ ràng có thể thấy được.



	Tiếp tục như vậy biến hóa đi xuống, dịch tiểu thất tin tưởng trong cơ thể đích ngũ tạng lục phủ, thậm chí ** đều muốn hội đạt được sống lại, nếu như là như vậy, có thể hắn sẽ lần thứ hai biến thành một cái rõ ràng đích người.



	Nhưng mà, tân đích vấn đề cũng xuất hiện .



	Theo hắn càng ngày càng mạnh, nơi này đích cá lô xà hồn thể đối hắn đích tác dụng càng ngày càng nhỏ, đừng nói này màu xám, màu đen đích cá lô xà , hiện tại hắn chính là thôn tính ngân bạch cá lô xà cũng hiệu quả quá nhỏ.



	Hơn nữa ngân bạch cá lô xà số lượng cực kỳ rất thưa thớt, thường thường vài ngày cũng bính không hơn một con, làm cho hắn buồn rầu không thôi.



	Trải qua trường kỳ quan sát, hắn biết này đó tiểu ma đầu theo màu xám biến thành ngân bạch không biết phải thôn tính bao nhiêu người loại hồn thể, nếu chiết thành thời gian tính toán, màu xám đến ngân bạch chỉ sợ cần trải qua hơn trăm ... nhiều năm, đây là tính thượng tiểu ma đầu lẫn nhau thôn tính đích kết quả.



	Từ dịch tiểu thất tung hoành Hoàng Tuyền, mấy năm nay nguyệt hắn thôn tính đích ngân bạch cá lô xà không dưới hơn trăm chỉ , ngân bạch dưới đích lại vô số kể, thế cho nên nên giống thiếu chút nữa tuyệt tích.



	Đến nay mới thôi, dịch tiểu thất còn chưa thấy qua so với ngân bạch cá lô xà càng mạnh đại đích tồn tại. Hắn phỏng đoán, ngân bạch đã ngoài đích quái xà hoặc là đã muốn hóa thành ma đầu phá không mà đi, hoặc là ngay tại Hoàng Tuyền lộ cuối, dù sao đây là một con không đường về, cho dù này đó tiểu ma đầu cũng không có thể vi phạm định luật.



	Căn cứ kinh nghiệm, dịch tiểu thất biết càng là ngay trước, gặp được cao giai cá lô xà đích tỷ lệ lại càng lớn, nói vậy này đó cá lô xà cùng hắn, cũng là không ngừng ven đường thôn tính. Nghĩ như vậy đến, hắn nghĩ muốn phải tìm được càng nhiều đích ngân bạch cá lô xà, chỉ có nhanh hơn cước bộ, đuổi ở phía trước mới vừa rồi đi.



	Hắn hiện tại đích hồn thể đã hoàn toàn thoát khỏi Hoàng Tuyền lộ đích giam cầm lực, độn tốc kỳ mau, nếu bất kể góc hồn lực đích tiêu hao, không nghỉ tạm không ngừng lưu, y theo dương thế đích tính toán, ngày đi mấy ngàn dặm không hề vấn đề.



	Đương nhiên, làm như vậy trong lời nói, lãng phí hồn lực bất luận, đối còn không phải đầy đủ pháp thể đích hắn mà nói là có tổn hại vô ích đích.



	Bởi vậy, hắn chỉ có thể đình ngừng kinh doanh hiết địa chạy đi, dù vậy, không bao lâu cũng làm cho hắn chạy mấy vạn lý xa.



	Hoàng Tuyền lộ mạn vô tận đầu, ven đường hồn thể mặc dù đang,ở cá lô xà không ngừng thôn tính hạ, có vẻ hơi hiển thưa thớt, nhưng số lượng thượng vẫn là tương đương khả quan. Toàn bộ thế giới mỗi ngày tử vong đích nhân số cao tới hơn mười vạn, đem này đó tử vong đích linh hồn tập trung thành đội ngũ, trưởng thành mệt nguyệt, quả nhiên là có thể đồ sộ.



	Dịch tiểu thất cũng không biết mình đem bao nhiêu năm nội tử vong đích linh hồn xa xa phao ở sau người, hắn cũng không muốn hấp thụ nhân loại vong linh đích hồn thể, trừ bỏ chướng ngại tâm lý bên ngoài, chính yếu chính là, bọn họ đích hồn thể quá nhỏ bé, một đám thôn tính cũng không biết phải hao phí bao lâu thời gian, mục đích của hắn là này cao lòng trắng trứng, dinh dưỡng phong phú đích ngân bạch cá lô xà.



	Hắn đích phỏng đoán không có sai, càng đi tiền, ngân bạch cá lô xà xuất hiện đích xác suất lại càng cao, làm cho hắn thu hoạch pha phong.



	Đáng tiếc chính là, hắn phát hiện hiện tại hồn thể đọng lại đích tốc độ cơ hồ đình trệ xuống dưới, giống như là tới  mỗ cái đỉnh, muốn đột phá lại khó hơn lên trời.



	Một ngày nào đó, hắn vừa mới thôn tính rụng một con ngân bạch cá lô xà, hồn niệm đột nhiên cảm nhận được một cỗ kỳ dị đích dao động.



	Hồn niệm là hắn thuận miệng mệnh danh đích một loại năng lực, lúc trước trai cò tranh chấp làm cho hắn may mắn thôn tính  ngân bạch cá lô xà, hồn thể đích ý niệm có thể phóng xạ đi ra ngoài, giống như là một loại nhìn không thấy đích chấn động ba, phàm là tại đây loại chấn động ba bao phủ hạ, gì hồn thể đều không chỗ nào che giấu.



	Cá lô xà trời sinh cụ bị loại năng lực này, chúng nó tuy rằng không có mắt, nhưng có thể thông qua kia đối râu cảm nhận được hồn thể, cũng phán đoán mạnh yếu.



	Mặc dù nhỏ yếu nhất đích cá lô xà đối hồn thể cảm ứng đều là siêu cường đích, dịch tiểu thất tằng bởi vậy chịu đủ đả kích. Ở hắn hồn thể trở nên quá mức đích cường đại khi, cơ hồ sở hữu cá lô xà đối hắn đều là văn phong mà chạy, làm hại hắn đoạn thời gian kia khỏa lạp vô thu. Thẳng đến hắn học được thu liễm hồn thể hơi thở dao động, tình huống mới có  chuyển biến tốt đẹp.



	Hiện giờ, hắn đích hồn niệm đã muốn có thể phóng đến phạm vi vài trăm thước xa, khi hắn cảm ứng được kia đùi kỳ quái đích dao động, không khỏi giật mình.



	Trường kỳ đích thôn tính làm cho hắn có thể dễ dàng nhận ra này đó dao động tương ứng đích chủ nhân, nhưng là lần này hắn có chút mê hoặc .



	Dựa theo này đùi dao động đến xem, đối phương hồn thể hẳn là không tính là cường đại, nhưng đồng thời nên hồn thể lại tản ra một cỗ rất mạnh đích thân thể ý thức, nói cách khác hắn đích hồn thể bởi vì này đùi ý thức trở nên phi thường tinh luyện, cho dù ngân bạch cá lô xà cùng chi có điều,so sánh cũng thua chị kém em.



	Làm thôn tính giả dịch tiểu thất đương nhiên biết hồn thể càng tinh luyện liền ý nghĩa càng là cực phẩm, mặc dù hồn thể nhỏ yếu chút, thôn tính sau cũng là đại bổ vật.



	Hắn nhất thời hưng phấn đứng lên, không biết đây là na chỉ biến dị đích cá lô xà, thật sự là đưa lên cánh cửa đích bữa tiệc lớn a! ! ~!.

==================================================

=== Đệ 003 chương : Nơi đây hoàng kim phi phú quý (#3) ===

Người đăng: buikhiemhtc@

Dịch tiểu thất khặc khặc cười quái dị, này bên miệng đích thịt béo na dung nó trốn, đang muốn lược thân đánh tới, đột nhiên ánh mắt của hắn thẳng , ngơ ngác nhìn dâng lên đích con mồi không biết làm sao.



	Theo vong linh chi giữa sông dâng lên đích con mồi thế nhưng cùng hắn là cả nhân loại hồn thể, xem bộ dáng là cái trung niên nhân, mặc cũ nát đích áo bông, khuôn mặt thập phần tiều tụy.



	Đây là dịch tiểu thất thấy đích người thứ nhất cùng hắn có được tự chủ năng lực đích nhân loại hồn thể, trợn mắt há hốc mồm hết sức, ngực kia khỏa sắp thành hình đích trái tim cư nhiên bang bang loạn nhảy dựng lên.



	Trường kỳ ở Hoàng Tuyền lộ lược thực, tuy rằng bên người nơi nơi đều là nhân loại đồng bào, nhưng không có một linh hồn giống hắn như vậy có được mình ý thức, hắn cơ hồ mau quên đi thân vì nhân loại chuyện này thực .



	Này hội là một ngoài ý muốn sao?



	Hắn nên đi lên chào hỏi, nói tiếng ha lâu... Vẫn là không nói được một lời, đi lên nuốt rụng đối phương?



	Đủ loại ngạc nhiên cổ quái đích ý niệm trong đầu nháy mắt xông ra, dịch tiểu thất mình cũng cảm thấy được có chút buồn cười.



	Hắn không vội vu nhất thời, dù sao cùng đối với mình mà nói, này tân sinh đích tên thật sự nhược tiểu chính là thực.



	Ngay tại hắn xa xa quan vọng  đối phương nhất cử nhất động khi, đột nhiên hồn niệm cảm nhận được một cái khổng lồ vô cùng đích dao động hướng tới hắn này phương hướng thổi quét tới.



	A!



	Dịch tiểu thất thần sắc nghiêm nghị, này đùi hồn lực chi hùng hậu cư nhiên không thua hiện tại đích chính mình, điều này làm cho hắn rất là cảnh giác.



	Theo sau, tiền phương kim quang lóng lánh, một con dài đến mấy thước cả người ánh vàng rực rỡ đích cá lô xà điện xạ tới.



	Dịch tiểu thất nhìn thấy bước nhỏ là thần tình ngoài ý muốn, theo sau một cỗ mừng như điên nảy lên trong lòng. Này rõ ràng là một loại so với ngân bạch cá lô xà rất cao giai đích tồn tại, là hắn vẫn nghĩ muốn phải tìm đích tốt nhất thôn tính đối tượng.



	Hắn rất nhanh đối lập song phương thực lực, rất nhanh cho ra kết luận, người nầy đích hồn thể thậm chí phải so với chính mình cao hơn một đường, nếu chính diện giao phong, lộc tử thùy thủ còn không nhất định.



	Bất quá với phú quý hiểm trung cầu, cao phiêu lưu mới có cao hồi báo. Hắn tự hỏi luận tâm trí hắn nếu so với loại này dựa vào bản năng thôn tính đích lược thực giả mạnh hơn thượng gấp trăm lần, nếu đụng phải bực này cơ duyên, buông tha cho rụng mới là ngu xuẩn hành vi.



	Dịch tiểu thất tính kế  màu vàng cá lô xà, toàn bộ không nghĩ tới đối phương đích mục tiêu không phải mình, mà là cái kia tân sinh đích nhân loại hồn thể, chờ hắn tỉnh ngộ lại, tên kia đã muốn tới gần nhân loại hồn thể phía trên, đối với cuống quít chạy trốn đích tân sinh hồn thể phát ra chấn hồn gào thét.



	Dịch tiểu thất thầm kêu một tiếng "Chết tiệt ", thúc dục hồn lực, hóa thành một đạo cầu vồng lược ra, đồng thời mười ngón nếu như câu, hướng tới kia chỉ màu vàng cá lô xà vào đầu chộp tới.



	Dịch tiểu thất vốn là phục viên quân nhân, chiến đấu ý thức rất mạnh, từ thành thôn tính giả sau, rất nhanh liền thói quen tính đào móc ra các loại chiến đấu kỹ năng. Hắn vừa mới này một trảo nhìn như đơn giản, Trên thực tế là của hắn đòn sát thủ một trong.



	Nhưng thấy hắn mười ngón nội móng tay giống như mọc lên như nấm, sinh trưởng tốt mà ra, nhưng lại mà đạt tới năm thước, bén nhọn dài nhỏ, kim quang lóe ra.



	Này đó móng tay tất cả đều là hắn dùng hồn tức không ngừng ngưng luyện mà thành, bình thường dung vu chỉ nội, chỉ cần tâm niệm vừa động, lập tức bộc lộ tài năng, này cứng rắn trình độ viễn siêu sắt thép, nó có thể dễ dàng xé rách giống ngân bạch cá lô xà khải hóa pháp thân, lợi hại vô cùng.



	Màu vàng cá lô xà không dự đoán được phía dưới cư nhiên ẩn núp  một cái cường đại hồn thể, kinh ngạc vạn phần, chấn hồn chi kỹ lâm vào một chút. Phải biết rằng giống chúng nó này đó lược thực giả đạt tới cao giai, sẽ phân chia địa giới, rất ít vi phạm cùng bác, nhưng mà một khi gặp được, chính là ngươi chết ta sống.



	Nó theo bản năng đã đem đối phương trở thành tiến đến đoạt thực đích cùng giai . Làm Hoàng Tuyền lộ bá vương một trong, hoàng kim cá lô xà tự nhiên sẽ không dễ dàng bỏ qua đến miệng đích mỹ thực, nhoáng lên một cái cái đuôi, lập tức bao lấy cái kia tân sinh nhân loại hồn thể, đồng thời mở ra tràn đầy răng nanh đích cá miệng, trong miệng hồn tức sôi trào như lửa, chuẩn bị cùng người tới cứng rắn hám.



	Dịch tiểu thất biết nếu muốn cho bực này cao giai quái vật phát ra hồn chấn sợ là ngay cả hắn đều khó có thể tiêu thụ, bay xẹt tới khi sớm tính toán hảo, tay trái năm ngón tay thẳng đảo phủ Hoàng Long hướng đối phương miệng treo cổ, đồng thời tay phải góc độ xảo quyệt địa từ dưới hướng lên trên cấp liêu.



	Hắn liều mạng tự thân hồn thể tổn thương, cũng muốn đánh gảy đối phương đích gào thét kỹ năng, quan trọng là ... Theo sau kia nhất liêu, chỉ cần có thể xé rách đối phương pháp thể, cái loại này không thể chịu đựng được đích đau đớn nhất định hội làm cho đối phương tạm thời đánh mất ý thức, đến lúc đó hắn có thể thôn tính rụng đối phương vài phần hồn tức, này tiêu lẫn nhau, chờ đối thủ tỉnh táo lại, cho dù lâm vào giằng co trạng thái, hắn đích phần thắng cũng hội thật to gia tăng.



	Nhưng mà, ngay tại song phương đánh giáp lá cà đích khoảnh khắc, dịch tiểu thất miết mắt thấy đến bị hoàng kim cá lô đuôi rắn ba cuốn lấy đích nhân loại hồn thể, rồi đột nhiên nghĩ đến một loại khả năng, thân thể một kích linh, quyết đoán địa buông tha cho tiến công, thân thể thay đổi phương vị, hướng tới bên trái lao đi.



	Oanh!



	Nháy mắt, hoàng kim cá lô xà trong miệng rồi đột nhiên phun ra một đạo lam lưng tròng đích ngọn lửa, mãnh liệt mênh mông địa thổi quét đi ra ngoài, màu lam ngọn lửa sở đến chỗ, tảng lớn nhân loại hồn thể nháy mắt hóa thành hư ảo.



	Dịch tiểu thất khó khăn lắm né qua, bất quá bả vai bên cạnh vẫn như cũ đã bị màu lam ngọn lửa chích nướng, trong phút chốc làm cho hắn hồn thể sinh ra xé rách cảm, đau triệt nội tâm, nếu không có phương pháp thể ngưng luyện, chỉ sợ ý thức thể cũng sẽ bởi vậy bị hao tổn.



	Hắn này cả kinh không phải là nhỏ, nguyên tưởng rằng con cá này lô xà nhiều nhất hội phát ra cao cường độ đích chấn hồn, không nghĩ tới chính là như vậy một đạo ngọn lửa, vừa rồi tuy rằng không có tiếp xúc đến, khả bằng hắn đích cảm ứng, rõ ràng cảm giác được này đùi trong hỏa diễm ẩn chứa nào đó khắc chế hồn thể đích năng lượng.



	Kỳ thật vừa rồi hắn sở dĩ tránh né là bởi vì cố kỵ đến người kia loại hồn thể đích tồn tại, dù sao có tiền lệ, hắn cũng không muốn mình ở cùng hoàng kim cá lô xà tranh đấu khi bị người kiểm  tiện nghi.



	Không nghĩ tới này ý niệm trong đầu cư nhiên cứu mình một mạng, coi như là may mắn cực kỳ .



	Nếu trên người hắn hội đổ mồ hôi trong lời nói, hiện tại hắn đã sớm mồ hôi ướt đẫm . Có vừa mới đích lần này kinh hồn, hắn làm sao còn dám không kiêng nể gì xông lên đi cùng đối phương vật lộn, ý niệm trong đầu vừa chuyển, bật người xa xa độn ly, thu liễm hơi thở ẩn tại hạ phương vong linh bên trong.



	Hoàng kim cá lô xà không nghĩ tới đối phương như thế trơn trượt, không đợi chân chính giao thủ, liền xa xa trốn chạy . Nó trong miệng phun  hồn tức, lắc đầu bãi não, chớp lên kia đối râu mọi nơi cảm ứng  hảo một trận, thủy chung không có phát hiện thu liễm hồn tức đích dịch tiểu thất, rốt cục từ bỏ.



	Trên thực tế dịch tiểu thất cũng là đánh giá cao  này chỉ hoàng kim cá lô xà, nó sở phun ra đích hồn diễm cố nhiên lợi hại, nhưng cũng há mồm tùy tiện có thể tới, trừ bỏ hao tổn hồn tác phẩm tâm huyết vi đại giới, mỗi phụt lên một lần sẽ làm cho nó đích hồn thể suy nhược vài phần, hơn nữa muốn tái phun một lần sẽ trải qua tương đương thời gian dài đến một lần nữa ngưng tụ hồn chi hỏa.



	Đây là nó bảo mệnh chi kỹ, nếu không phải hoàng kim cá lô xà cảm nhận được thật lớn uy hiếp, tuyệt không dễ dàng vận dụng.



	Hiện giờ nhìn thấy uy hiếp rời đi, này chỉ hoàng kim cá lô xà liền phải bổ quay về bị hao tổn hồn thể, khẩn cấp địa hấp thụ khởi tên kia sớm bị chấn hôn qua đi đích nhân loại hồn thể.



	Dịch tiểu thất trơ mắt nhìn kia hi hữu đích đồng loại hồn thể bị đối phương đạm thực, hoàn toàn thúc thủ vô sách - bó tay không biện pháp, trong lòng sinh ra vài phần môi hở răng lạnh đích bi thương cảm, dù sao thật vất vả gặp được cái đồng loại, hắn cũng không có thể thân thủ cứu viện, ngoài miệng lẩm bẩm nói: "Bằng hữu, thực xin lỗi , không phải tôi không nghĩ cứu ngươi, lão tử thật sự là lực bất tòng tâm a..."



	Hắn khi còn sống có thể dựa vào nhất thời tâm huyết, ôm đồng quy vu tận đích ý niệm trong đầu, nghĩa vô phản cố bắn chết này ác bá, nhưng dù sao cũng là xuất phát từ đối bạn gái đích cảm tình.



	Trên thực tế, hắn nếu không không phải hạng người lỗ mãng, nội tâm còn có tồn  vài phần phía nam nhân đích giả dối, đối mặt như thế đối thủ cường đại, giờ phút này tuy rằng đồng tình này tân sinh đồng loại, dù sao cùng hắn cũng chưa quen thuộc, làm sao hội ngốc hồ hồ thượng đi chịu chết.



	Hoàng kim cá lô xà tìm gần mấy canh giờ mới hoàn toàn đem tân sinh hồn thể hấp thụ sạch sẽ, nó vừa lòng địa đánh cái ăn no cách, đột nhiên nó thân hình cứng đờ, Ngay sau đó cả người kim quang giận phóng, pháp thân kịch liệt địa đả khởi bệnh sốt rét đến, kia đủ mấy thước lớn lên thân hình run rẩy  bắt đầu bành trướng mở ra, như là tùy thời đều phải nổ mạnh rụng như vậy.



	Che dấu chỗ tối đích dịch tiểu thất nhìn đến này mạc cảnh tượng, đầu tiên là lộ ra vài phần khó hiểu, theo sau giật mình tỉnh ngộ, ánh mắt lập tức trở nên nóng cháy đứng lên.



	Người nầy chẳng lẽ lại một lần nữa tiến giai ? ! ~!.

==================================================

=== Đệ 004 chương thừa dịp ngươi bệnh đến phải mạng ngươi (#4) ===

Người đăng: buikhiemhtc@

Hắn có chút không dám tin, phía trước tằng thấy quá một con hắc lân cá lô xà tiến giai thành ngân bạch cá lô xà đích quá trình, biết loại này hồn thể mãnh thú ở tiến giai hoàn thành sau sẽ trở nên cực kỳ suy yếu, đây là hắn tốt nhất cơ hội.



	Màu vàng cá lô xà thực lực cố nhiên cường đại, nhưng dù sao vẫn là thuộc loại bằng bản năng làm việc đích ấu ma, đổi thành gì một cái trí tuệ sinh vật, cũng không khả hội dễ dàng bằng cảm giác phán đoán hoàn cảnh đích an toàn, dù sao ở trong này vừa mới trải qua một hồi giằng co, chẳng lẽ đối thủ hội khinh địch như vậy rời đi sao.



	Từng đạo hùng hậu vô cùng đích hồn tức tự màu vàng cá lô xà trong cơ thể dâng lên mà ra, ở hắn bốn phía hình thành  phạm vi hơn mười trượng đích khí lãng, xuy xuy tiếng vang trung, phàm là đặt mình trong khí lãng trung tâm đích hồn thể toàn bộ hoá khí, bụi mênh mông đích hồn tức khối không khí nội, một cái ánh vàng rực rỡ đích thân hình chính vặn vẹo biến hình.



	Mặc dù xa xa cảm thụ, dịch tiểu thất vẫn bị này đùi kinh người đích hơi thở cấp kinh sợ ở, như thế cuồng bạo đích hồn tức hắn vẫn là lần đầu tiên gặp được, ngạnh sinh sinh khắc chế quay đầu mà chạy đích ý niệm trong đầu, hắn biết này chính là đã bị đối phương đích khí tràng ảnh hưởng sở dồn, nếu hắn chính là bình thường đích lược thực giả, cảm nhận được này đùi khí tràng, tim và mật câu nứt ra dưới, tự nhiên có xa lắm không chạy rất xa .



	Hắn cắn chặt răng đối kháng này đùi khí tràng đối với mình hồn thể đích ảnh hưởng, trong lòng hưng phấn không hiểu.



	Khổng lồ đích khí tràng duy trì gần nửa giờ tả hữu, sau đó oanh địa một tiếng, toàn bộ quay về lui, hướng tới giữa kia màu vàng pháp khu nội dũng mãnh vào.



	Ba! Ba! Ba!



	Một trận pháo bàn giòn vang, bành trướng đến thấy không rõ nguyên lai diện mạo đích hoàng kim cá lô xà toàn thân kim lân đều vỡ vụn, sau đó một con ước chừng ngũ thước dài hơn, hình thái giống như nhân loại cùng hầu tử hỗn hợp, xấu xí, kim đồng hoàng mi, đuôi dài nếu như côn đích màu vàng lợt yêu ma quỷ quái từ giữa bính ra.



	Nó nhìn như cực kỳ vui mừng, ngửa mặt lên trời thét dài, tại đây cái cơ hồ phong bế thanh âm đích âm u, này tiếng gầm vẫn như cũ đạt tới làm cho người ta sợ hãi nông nỗi, ngay cả khoảng cách nó xa xôi đích vong linh tại đây thanh rít lên trung hồn thể cũng đều hỏng mất rụng.



	Dịch tiểu thất chỉ cảm thấy đau đầu dục nứt ra, hồn thể ẩn ẩn có chút không xong, sống chết trước mắt, chỉ có gắt gao bảo vệ cho thần trí.



